"Video Gaming Licensed Applicants",
"License Name","d/b/a","Address","City","State","Zip","County","License Number","License Type","Status Date",
"AGS, LLC","","","","","","","160103442","Distributor","01/26/2017",
"American Vending Sales, Inc.","","","","","","","100100008","Distributor","08/09/2011",
"Aristocrat Technologies, Inc.","","","","","","","100100116","Distributor","08/09/2011",
"Bally Gaming, Inc.","","","","","","","100100348","Distributor","08/09/2011",
"H. Betti Industries, Inc.","","","","","","","100100056","Distributor","08/09/2011",
"IGT","","","","","","","100100007","Distributor","08/09/2011",
"Inspired Gaming (USA) Inc.","","","","","","","190100354","Distributor","09/16/2019",
"Konami Gaming, Inc. ","","","","","","","120112493","Distributor","08/22/2013",
"Novomatic Americas Sales LLC","","","","","","","130105745","Distributor","05/29/2014",
"SUZOHAPP Gaming Solutions, LLC","","","","","","","120111375","Distributor","06/20/2013",
"AGS, LLC","","","","","","","160203443","Manufacturer","01/26/2017",
"Aristocrat Technologies, Inc.","","","","","","","100200115","Manufacturer","08/09/2011",
"Bally Gaming, Inc.","","","","","","","100200210","Manufacturer","08/09/2011",
"IGT","","","","","","","100200001","Manufacturer","08/09/2011",
"Inspired Gaming (UK) Limited","","","","","","","190202579","Manufacturer","09/16/2019",
"Konami Gaming, Inc. ","","","","","","","120212136","Manufacturer","08/22/2013",
"Novomatic Americas Sales LLC","","","","","","","130205746","Manufacturer","05/29/2014",
"AGS, LLC","","","","","","","160303444","Supplier","01/26/2017",
"Bally Gaming, Inc.","","","","","","","100300211","Supplier","08/09/2011",
"CountR GmbH","","","","","","","140304153","Supplier","07/23/2015",
"Curo Group, LLC","","","","","","","120303484","Supplier","06/20/2013",
"Illinois Rewards, Inc.","","","","","","","150300943","Supplier","12/16/2015",
"JCM American Corporation","","","","","","","100300021","Supplier","08/09/2011",
"M3 Technology Solutions, LLC","","","","","","","110300554","Supplier","07/19/2012",
"Novomatic Americas Sales LLC","","","","","","","130305747","Supplier","05/29/2014",
"NRT Technology Corp.","","","","","","","110300069","Supplier","06/21/2012",
"Patriot Gaming & Electronics, Inc.","","","","","","","120308298","Supplier","02/21/2013",
"Bandyk,David John ","","","","","","","120405191","Technician","08/16/2012",
"Bauer,Anthony Raymond ","","","","","","","140401114","Technician","04/30/2014",
"BEAVER,KEVIN ROY ","","","","","","","120410764","Technician","02/21/2013",
"BHAKTA,PURVINKUMAR HARI ","","","","","","","180404580","Technician","01/30/2019",
"Blyth ,Andrew Patrick ","","","","","","","120404142","Technician","07/19/2012",
"BROXSON,ERIC CHARLES ","","","","","","","120408479","Technician","09/20/2012",
"Buchanan,Lawrence William ","","","","","","","140400871","Technician","04/30/2014",
"BUTLER,DENNIS ROBERT ","","","","","","","170401603","Technician","06/28/2017",
"BYRD,STEPHANIE ADRIENNE ","","","","","","","130403910","Technician","08/22/2013",
"CADIEUX,DAVID ANDREW ","","","","","","","120405056","Technician","07/19/2012",
"Campbell,Donald Eugene ","","","","","","","120407646","Technician","09/20/2012",
"Celio,Alejandro Cecilio ","","","","","","","140401119","Technician","04/30/2014",
"Celio,Jesus Jaime ","","","","","","","140401117","Technician","04/30/2014",
"CICCONE,GAETANO RICHARD ","","","","","","","190402891","Technician","11/07/2019",
"CONSIGLIO,JOSEPH MICHAEL Sr","","","","","","","190402995","Technician","11/07/2019",
"DARDEN,FRANKIE DENISE ","","","","","","","190401294","Technician","06/13/2019",
"Desutter,Mark  Anthony ","","","","","","","130403006","Technician","06/20/2013",
"Frank,Gnyle James ","","","","","","","120405845","Technician","08/16/2012",
"Gaston,Pedro  ","","","","","","","120405104","Technician","08/16/2012",
"GEBIS,SABINA BEATA ","","","","","","","190402890","Technician","09/16/2019",
"GUTIERREZ,JULIAN DAMIEN ","","","","","","","190402796","Technician","09/16/2019",
"HOLTROP,JEREMY LOUIS ","","","","","","","120410713","Technician","12/20/2012",
"ITALIA,NICHOLAS EDWARD ","","","","","","","190402799","Technician","09/16/2019",
"JEDD,NICHOLAS JAMES ","","","","","","","130403527","Technician","07/18/2013",
"Juday,James Harold ","","","","","","","130403608","Technician","08/22/2013",
"Kaiser,Dennis James ","","","","","","","130402244","Technician","07/18/2013",
"Kirby,Douglas John ","","","","","","","150402935","Technician","08/25/2015",
"Kopko,William Nicholas ","","","","","","","140401118","Technician","04/30/2014",
"Moore,Alphonsus Patrick ","","","","","","","120405193","Technician","12/20/2012",
"Nobilette,Douglas B ","","","","","","","160401420","Technician","06/02/2016",
"PALMER,MARLIN EUGENE ","","","","","","","160402567","Technician","11/03/2016",
"PATEL,PRAGNESH MAHENDRABHAI ","","","","","","","180404582","Technician","03/01/2019",
"PEOPLES,CAYLAN DE'JUAN ","","","","","","","190401895","Technician","08/08/2019",
"PIOTROWICZ,KRZYSZTOF  ","","","","","","","120407813","Technician","10/18/2012",
"Prokop,Joseph Gary ","","","","","","","120411219","Technician","11/15/2012",
"RAINES,PETER JOHN ","","","","","","","120411013","Technician","11/15/2012",
"REHBERGER,JEFFERY JOSEPH ","","","","","","","140400589","Technician","02/26/2014",
"SCALI,RICKIE BRUNO Jr","","","","","","","190402794","Technician","09/16/2019",
"SCHELLENGER,HAROLD L ","","","","","","","130401936","Technician","09/19/2013",
"STANFORD,WILLIAM SANDS III","","","","","","","120408851","Technician","10/18/2012",
"STRICKLAND,RYAN JAMES ","","","","","","","120406727","Technician","08/16/2012",
"Sullivan,Michael J ","","","","","","","130406535","Technician","03/27/2014",
"THILLENS,MEL PATRICK ","","","","","","","120405074","Technician","07/19/2012",
"Timm,Daniel Anthony ","","","","","","","130405299","Technician","10/24/2013",
"VALDEZ,REBECCA LUCIA ","","","","","","","190401435","Technician","06/13/2019",
"VAN DUSEN,DAVID CHARLES ","","","","","","","190401031","Technician","04/18/2019",
"Vranski,Georgi dimitrov ","","","","","","","130400311","Technician","05/23/2013",
"Waters,Jason Ray ","","","","","","","140403277","Technician","10/27/2014",
"WILKOFF,MASON RYAN ","","","","","","","180402086","Technician","08/02/2018",
"WILLIAMS,ALFRED Windfield ","","","","","","","120412568","Technician","01/24/2013",
"ZUBRICKI,ALBIN J ","","","","","","","170402124","Technician","08/24/2017",
"ZUBRICKI,MICHAEL  ","","","","","","","170402191","Technician","08/24/2017",
"A'Hearn,Jeremy Michael ","","","","","","","160502551","Terminal Handler","08/31/2016",
"ABDOW,ROBERT NATHAN ","","","","","","","180503924","Terminal Handler","12/12/2018",
"Abella,Joseph N. ","","","","","","","130501552","Terminal Handler","03/20/2013",
"Abraham,Joseph George Jr","","","","","","","120504492","Terminal Handler","07/19/2012",
"Abraham,Todd Joseph ","","","","","","","140503102","Terminal Handler","09/23/2014",
"Abraham,Tyler Steven ","","","","","","","140502127","Terminal Handler","06/26/2014",
"Acosta,Jose  ","","","","","","","120505405","Terminal Handler","08/16/2012",
"ADAMS,JEFFREY WAYNE ","","","","","","","180503865","Terminal Handler","11/02/2018",
"Adams,Timothy John ","","","","","","","190502013","Terminal Handler","08/08/2019",
"Adlfinger,Jacob Matthew ","","","","","","","120506745","Terminal Handler","08/16/2012",
"Admire,Ronald Scott ","","","","","","","170500780","Terminal Handler","03/23/2017",
"AGUADA,PAUL BRANDON FERRER ","","","","","","","190503090","Terminal Handler","11/07/2019",
"AGUERO,AMANDA NICOLE ","","","","","","","180504008","Terminal Handler","01/30/2019",
"AGUILAR,MARCUS JOSE ","","","","","","","180501309","Terminal Handler","05/24/2018",
"AGUIRRE,GERARDO FABIAN ","","","","","","","180500376","Terminal Handler","03/07/2018",
"AGUIRRE,PEDRO MIGUEL ","","","","","","","180501101","Terminal Handler","04/12/2018",
"AHLERS,MICHAEL CHARLES ","","","","","","","160501146","Terminal Handler","04/21/2016",
"Ahlfield,Brody Griffin ","","","","","","","170501701","Terminal Handler","06/28/2017",
"Ahner,Michael Edward ","","","","","","","150501153","Terminal Handler","03/26/2015",
"AKERMANN FRY,KARIN Suzanne ","","","","","","","130501675","Terminal Handler","03/20/2013",
"ALBANO,MICHAEL DAMON ","","","","","","","190500938","Terminal Handler","04/18/2019",
"ALDERSON,NATHAN JAMES ","","","","","","","160501940","Terminal Handler","07/20/2016",
"ALEXANDER,VANTONIO SHEROD ","","","","","","","180503428","Terminal Handler","11/02/2018",
"ALI,ADIL HUSSAIN ","","","","","","","190500863","Terminal Handler","04/18/2019",
"Ali,Aijaz H ","","","","","","","160501139","Terminal Handler","06/02/2016",
"ALI,NOMAN NAVROZ ","","","","","","","190500862","Terminal Handler","04/18/2019",
"ALLARD,DANA KAY ","","","","","","","190503152","Terminal Handler","11/07/2019",
"ALLEN,BRIAN JOSHUA ","","","","","","","170502941","Terminal Handler","09/21/2017",
"Allen,James M. ","","","","","","","120510930","Terminal Handler","12/20/2012",
"Allen,Patrick Donnell ","","","","","","","120510286","Terminal Handler","10/18/2012",
"Allen,Steven Lowell ","","","","","","","130501854","Terminal Handler","04/18/2013",
"Alvinito,Joseph Phillip ","","","","","","","150502928","Terminal Handler","08/25/2015",
"AMATO,FRANK EDMUND Jr","","","","","","","170502496","Terminal Handler","08/24/2017",
"Anagnostopoulos,Louis  ","","","","","","","120509147","Terminal Handler","05/23/2013",
"Ancell,Joseph Dean ","","","","","","","130500810","Terminal Handler","02/21/2013",
"ANDERSEN,SHAWN RICHARD ","","","","","","","180501791","Terminal Handler","09/14/2018",
"ANDERSON,CHRISTOPHER MICHAEL ","","","","","","","160501626","Terminal Handler","07/20/2016",
"Anderson,George Joseph ","","","","","","","130501966","Terminal Handler","04/18/2013",
"Anderson,Joseph L ","","","","","","","110500679","Terminal Handler","04/30/2014",
"Anderson,Larry Edward ","","","","","","","170501086","Terminal Handler","04/21/2017",
"ANDERSON,ROBERT LEE ","","","","","","","180504290","Terminal Handler","01/30/2019",
"ANDREWS,NICOLE DANIELLE ","","","","","","","170504051","Terminal Handler","01/09/2018",
"Andrlik,Thomas Matthew ","","","","","","","140504056","Terminal Handler","03/26/2015",
"Andrus,Matthew Hunter ","","","","","","","140500455","Terminal Handler","03/27/2014",
"Andzuzewski,Stephen Michael ","","","","","","","150501171","Terminal Handler","05/28/2015",
"ANGELOS,RUDY LAWRENCE ","","","","","","","160502746","Terminal Handler","08/31/2016",
"ANGLES,JAMES ROBERT ","","","","","","","190502253","Terminal Handler","09/16/2019",
"ANGUIANO,JUAN CARLOS ","","","","","","","190500251","Terminal Handler","03/01/2019",
"ANKARLO,STEVEN SCOTT ","","","","","","","180503622","Terminal Handler","11/02/2018",
"ANSON,LOGAN TYLER ","","","","","","","170503609","Terminal Handler","11/16/2017",
"Antosiak,Joseph G ","","","","","","","150503438","Terminal Handler","11/06/2015",
"Anys,Richard Charles ","","","","","","","120505406","Terminal Handler","08/16/2012",
"Arambasich,Thomas William ","","","","","","","130506576","Terminal Handler","01/15/2014",
"Araujo,Adrian Armando III","","","","","","","150500690","Terminal Handler","03/26/2015",
"ARIAS,KEVIN  ","","","","","","","190500597","Terminal Handler","04/18/2019",
"Armato,Michael J ","","","","","","","120511416","Terminal Handler","12/20/2012",
"Arndt,Theodore Ryan ","","","","","","","120504184","Terminal Handler","07/19/2012",
"Arold,Neil Richard ","","","","","","","130504911","Terminal Handler","10/24/2013",
"ARSENAULT,PHILIP KENNETH ","","","","","","","180503111","Terminal Handler","09/14/2018",
"Arteaga,Eric  ","","","","","","","150504008","Terminal Handler","12/16/2015",
"ARTEMIS,EVANGELOS MICHAEL ","","","","","","","180504011","Terminal Handler","12/12/2018",
"Ashiqali,Abid  ","","","","","","","140500665","Terminal Handler","02/26/2014",
"ASHLOCK,PAUL KENNETH Jr","","","","","","","160501147","Terminal Handler","06/02/2016",
"Aspel,Mathieu Dominic ","","","","","","","160500019","Terminal Handler","04/21/2016",
"Asquith,Quinn Alan ","","","","","","","150500674","Terminal Handler","05/28/2015",
"Aten,Billy Daniel ","","","","","","","120506825","Terminal Handler","08/16/2012",
"ATKINSON,DONOVAN SCOTT ","","","","","","","180504384","Terminal Handler","09/16/2019",
"ATKINSON,JOHN SIDNEY ","","","","","","","130503525","Terminal Handler","11/21/2013",
"Auerswald,John Robert ","","","","","","","130504358","Terminal Handler","09/19/2013",
"AUSTRIA,ANDREW FAUSTINO ","","","","","","","190502305","Terminal Handler","08/08/2019",
"Avelar,Sergio E ","","","","","","","120506269","Terminal Handler","09/20/2012",
"AVILA,DOMINIC  ","","","","","","","180503829","Terminal Handler","12/12/2018",
"AVILA,JORGE EDMUNDO ","","","","","","","170504342","Terminal Handler","02/09/2018",
"AVITIA,CLAUDIO  ","","","","","","","170501482","Terminal Handler","05/25/2017",
"Aymond,Ty Christopher ","","","","","","","140502126","Terminal Handler","06/26/2014",
"Bacchelli,Leo  Jr","","","","","","","140501351","Terminal Handler","05/29/2014",
"Backshis,John N. ","","","","","","","130500525","Terminal Handler","02/21/2013",
