License Number,Address,City,State,Zip,County,Latitude,Longitude
160700778,1621 East El Dorado Suite B,Decatur,IL,62521,Macon,39.844104,-88.9366
120710858,2239 E Wood,Decatur,IL,62521,Macon,39.840985,-88.925513
140700107,2880 N Oakland,Decatur,IL,62526,Macon,39.873684,-88.972356
160700825,2828 N. Main St. Suite 105,Decatur,IL,62526,Macon,39.873719,-88.955933
130701412,1770 E Pershing Rd,Decatur,IL,62526,Macon,39.877715,-88.932624
120708323,2236 North Oakland Avenue,Decatur,IL,62526,Macon,39.866486,-88.972679
120700343,3775 N Woodford,Decatur,IL,62526,Macon,39.890883,-88.936889
120704521,2683 N Water St,Decatur,IL,62526,Macon,39.871641,-88.95512
160700026,2959 N. Oakland Ave,Decatur,IL,62526,Macon,39.875509,-88.973385
120707132,295 W. Green,Decatur,IL,62526,Macon,39.848436,-88.958858
180702151,799 South 22nd Street,Decatur,IL,62521,Macon,39.833942,-88.926177
150704233,411 E William St.,Decatur,IL,62523,Macon,39.84346,-88.951153
160700119,"2605 N. Water, Suite 103",Decatur,IL,62526,Macon,39.870912,-88.955532
180704335,1104 North Main Street,Decatur,IL,62521,Macon,39.852617,-88.95582
120709294,520 E. North St.,Decatur,IL,62523,Macon,39.845304,-88.950081
170700065,1250 W South Side Dr.,Decatur,IL,62521,Macon,39.824418,-88.974899
120707316,1325 22nd Street,Decatur,IL,62521,Macon,39.855839,-88.926954
120707303,2870 North Jasper Street,Decatur,IL,62526,Macon,39.874621,-88.939677
120707309,1935 South Taylorville Road,Decatur,IL,62521,Macon,39.819176,-88.985404
120701460,1933 S. Taylorville Road,Decatur,IL,62521,Macon,39.819311,-88.985191
180701828,1214 W. Cerro Gordo St.,Decatur,IL,62522,Macon,39.847005,-88.975819
150704186,2048 S. Mt. Zion Rd,Decatur,IL,62521,Macon,39.816701,-88.876932
160702288,3550 E. Williams Street Road,Decatur,IL,62521,Macon,39.849244,-88.902845
120707311,411-421 North 22nd Street,Decatur,IL,62521,Macon,39.845916,-88.926714
130705058,5995 East U.S. Route 36 Suite 1,Decatur,IL,62521,Macon,39.81626,-88.859998
120704532,1190 West Southside Drive,Decatur,IL,62521,Macon,39.839477,-88.946486
160700117,985 W Pershing Rd Ste F2,Decatur,IL,62526,Macon,39.875868,-88.970111
130702614,2860 N. Main St.,Decatur,IL,62526,Macon,39.874163,-88.956248
140701257,820 N Main Street,Decatur,IL,62521,Macon,39.848945,-88.955662
120702093,3430 N. 22nd St.,Decatur,IL,62526,Macon,39.885949,-88.918068
160702420,1929 N Water St,Decatur,IL,62526,Macon,39.86169,-88.955128
120709882,4191 West US Highway Route 36,Decatur,IL,62522,Macon,39.84651,-89.02486
120706445,121 N Main St  ,Decatur,IL,62523,Macon,39.841871,-88.956093
150703736,2201 E Wood Street,Decatur,IL,625213162,Macon,39.840924,-88.925952
120711243,129 S Oakland Ave,Decatur,IL,62522,Macon,39.840662,-88.972925
140700066,1700 North Lake Shore Drive,Decatur,IL,62526,Macon,39.860506,-88.882673
150702371,1099 West Main Street,Decatur,IL,62522,Macon,39.840905,-88.972565
160701077,2525 N. Main St.,Decatur,IL,62526,Macon,39.870055,-88.956922
150702070,"105 West 1st Drive, Suite D",Decatur,IL,62521,Macon,39.821694,-88.95596
170700158,550 East Prairie Street,Decatur,IL,62523,Macon,39.842804,-88.950176
130705805,"105 West 1st Drive, Suite B",Decatur,IL,62521,Macon,39.821694,-88.95596
180703405,973 E. Eldorado St.,Decatur,IL,62521,Macon,39.84582,-88.944015
160701008,"2026 South Mt. Zion Road, Suite H",Decatur,IL,62521,Macon,39.818428,-88.87806
140704418,2717 North Main Street,Decatur,IL,62526,Macon,39.872025,-88.956708
120707318,755 S. Franklin Street,Decatur,IL,62521,Macon,39.8347,-88.952965
150702710,190 North Merchant Street,Decatur,IL,62523,Macon,39.842378,-88.95545
160703385,2125 E Pershing Rd.,Decatur,IL,62526,Macon,39.877036,-88.929149
120711484,1385 East Pershing Road,Decatur,IL,62526,Macon,39.876916,-88.938181
180701241,242 E. William St.,Decatur,IL,62523,Macon,39.843837,-88.95356
120708640,4335 W. Main St,Decatur,IL,62522,Macon,39.841684,-89.028031
170701684,1871 North Water Street,Decatur,IL,62526,Macon,39.860966,-88.954983
140703929,1315 W King Street,Decatur,IL,62522,Macon,39.848962,-88.977928
140701440,#1 371 West 1st Drive,Decatur,IL,62521,Macon,39.821104,-88.959356
160700128,275 North 22nd Street,Decatur,IL,62521,Macon,39.844062,-88.926989
120706388,858 W Green Street,Decatur,IL,62522,Macon,39.848868,-88.967169
190700027,3190 N. Woodford St. ,Decatur,IL,62526,Macon,39.880673,-88.9355
120701319,3015 Grand Prix Drvie,Decatur,IL,62526,Macon,39.877691,-88.929098
120704883,2998 North 22nd Street,Decatur,IL,62526,Macon,39.877188,-88.923908
160702671,1880 N. Brush College Road,Decatur,IL,62526,Macon,39.861863,-88.897679
160701447,"3133 North Woodford, Suite B",Decatur,IL,62523,Macon,39.87933,-88.938041
160702672,3745 N. Woodford St.,Decatur,IL,62526,Macon,39.890247,-88.937317
150702680,161 E. Packard Street,Decatur,IL,62523,Macon,39.852108,-88.95521
150702672,"1910 South Mount Zion Road, Suite B",Decatur,IL,62521,Macon,39.819604,-88.877632
150702685,"3611 East US Route 36, Suite B",Decatur,IL,62521,Macon,39.824976,-88.896184
180703241,727 West Weaver Road,Decatur,IL,62526,Macon,39.921483,-88.968679
120708504,4345 West Main Street,Decatur,IL,625221132,Macon,39.841681,-89.028164
150704284,5180 N. Hickory Point Frontage Road,Decatur,IL,62526,Macon,39.912871,-88.95421
130705821,3025 Kandy Lane,Decatur,IL,62526,Macon,39.877617,-88.934155
140702535,4831 E. US Route 36,Decatur,IL,62526,Macon,39.820305,-88.880171
140702537,3098 N. Water St.,Decatur,IL,62526,Macon,39.879516,-88.95321
140703997,4262 North Prospect Dr.,Decatur,IL,62526,Macon,39.900749,-88.951849
150703967,918 West Eldorado Street,Decatur,IL,62522,Macon,39.845808,-88.968825
120708465,1355 Illinois 48 #7 ,Decatur,IL,62526,Macon,39.877021,-88.938988
150700089,2553 North 22nd St.,Decatur,IL,62526,Macon,39.87046,-88.927433
120711444,3663 East William St.,Decatur,IL,62521,Macon,39.849046,-88.901352
120705737,815 S. 22nd St.,Decatur,IL,62521,Macon,39.833482,-88.926287
160700561,5995 Route 36 East Suite 2,Decatur,IL,62521,Macon,39.81626,-88.859998
