Decatur,,,,,,,,,,,,
January 2018 - December 2018,,,,,,,,,,,,
Report Date: 11/21/2019 14:38 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Decatur,Achille Foster,160700778,5,4262400.36,3914720.26,347680.1,1552765,1205084.75,347680.25,104304.63,86920.54,17384.09
Decatur,"ANC Rainbow, Inc.",120710858,5,3434917.68,3132180.74,302736.94,1129611,826873.86,302737.14,90821.75,75684.82,15136.93
Decatur,Applezaks Incorporated,140700107,5,3218639.24,2944830.44,273808.8,1130091,856282.04,273808.96,82143.19,68452.66,13690.53
Decatur,BBJT Gaming LLC,160700825,5,7691285.91,7120730.21,570555.7,2482892,1912336.3,570555.7,171167.24,142639.39,28527.85
Decatur,"Benny's Grill of Decatur, Inc.",130701412,5,3119932.84,2858408.86,261523.98,1015560,754035.97,261524.03,78457.85,65381.56,13076.29
Decatur,"Bigler's Curve, Inc.",120708323,5,4003960.27,3645847.58,358112.69,1235308,877195.11,358112.89,107434.62,89528.86,17905.76
Decatur,"Bink, Inc.",120700343,5,4359633.33,3983986.8,375646.53,1610581,1234934.47,375646.53,112694.41,93912.03,18782.38
Decatur,Bowler 299 Inc.,120704521,5,3879936.83,3547263.58,332673.25,1399385,1066689.75,332695.25,99809.16,83174.32,16634.84
Decatur,"Buki & Lou Limani, Inc.",160700026,5,4380875.54,4003767.07,377108.47,1570688,1193579.56,377108.44,113133.33,94277.78,18855.55
Decatur,BURL ENTERPRIZES INC.,120707132,4,1529303.92,1405826.91,123477.01,508582,385104.95,123477.05,37043.56,30869.63,6173.93
Decatur,Captains Palace Inc.,150704233,5,4329422.77,3979892.44,349530.33,1549970,1200439.67,349530.33,104859.63,87383.07,17476.56
Decatur,"Castle Williams Post No. 105, The American Legion",120908458,4,1115766.21,1029404.83,86361.38,359864,273502.62,86361.38,25908.93,21590.8,4318.13
Decatur,Central Illinois Gaming Inc.,160700119,5,4428651.82,4018829.27,409822.55,1496602,1086779.05,409822.95,122947.58,102456.31,20491.27
Decatur,Columbus Club of Decatur,120709294,5,1578051.92,1445370.48,132681.44,484853,352171.56,132681.44,39804.83,33170.71,6634.12
