"Decatur"
"January 2019 - November 2019"
"Report Date: 12/12/2019 13:46 PM",
"Municipality","Establishment","License Number","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","Net Terminal Income","NTI Tax","State Share","Municipality Share",
"Decatur","Achille Foster","160700778","5","3489708.2700","3199824.9500","289883.3200","1183689.0000","893805.8300","289883.1700","90503.7400","76009.5300","14494.2100",
"Decatur","ANC Rainbow, Inc.","120710858","5","3982673.3200","3584543.7000","398129.6200","1325688.0000","927550.5800","398137.4200","125092.9000","105185.9800","19906.9200",
"Decatur","Applezaks Incorporated","140700107","5","2299156.2500","2102556.7800","196599.4700","835231.0000","638631.6200","196599.3800","61344.7200","51514.7100","9830.0100",
"Decatur","BBJT Gaming LLC","160700825","5","9083085.3200","8380271.4500","702813.8700","3075635.0000","2372787.8800","702847.1200","220413.5200","185271.1200","35142.4000",
"Decatur","Benny's Grill of Decatur, Inc.","130701412","5","2547805.7600","2330947.1000","216858.6600","849610.0000","632751.3900","216858.6100","68055.5000","57212.5300","10842.9700",
"Decatur","Bigler's Curve, Inc.","120708323","5","3932712.6600","3605098.5800","327614.0800","1219743.0000","892123.3200","327619.6800","102594.2600","86213.2400","16381.0200",
"Decatur","Bink, Inc.","120700343","5","3812520.8000","3500587.1100","311933.6900","1433279.0000","1121344.9300","311934.0700","97230.0300","81633.2900","15596.7400",
"Decatur","Bowler 299 Inc.","120704521","5","3197039.6400","2920965.1700","276074.4700","1132471.0000","856341.2200","276129.7800","86425.0500","72618.5300","13806.5200",
"Decatur","Buki & Lou Limani, Inc.","160700026","5","3856734.2100","3498357.7600","358376.4500","1444658.0000","1086281.3000","358376.7000","112296.9100","94378.0400","17918.8700",
"Decatur","BURL ENTERPRIZES INC.","120707132","4","1717781.2200","1558487.4100","159293.8100","607786.0000","448492.1600","159293.8400","50132.8800","42168.1600","7964.7200",
"Decatur","C New Visions 1 LLC","180702151","5","498293.0400","451944.8300","46348.2100","193089.0000","146740.7900","46348.2100","14903.9800","12586.5700","2317.4100",
"Decatur","Captains Palace Inc.","150704233","5","4886052.3300","4500332.2700","385720.0600","1633112.0000","1247391.8900","385720.1100","120567.0600","101281.0500","19286.0100",
"Decatur","Castle Williams Post No. 105, The American Legion","120908458","4","1527773.1300","1405895.6300","121877.5000","430659.0000","308781.2700","121877.7300","38332.8900","32239.0000","6093.8900",
"Decatur","Central Illinois Gaming Inc.","160700119","5","4414831.3600","4018127.2500","396704.1100","1470277.0000","1073573.2900","396703.7100","124534.6100","104699.3600","19835.2500",
"Decatur","Charlotte Cook","180704335","5","541678.4500","501894.1100","39784.3400","208854.0000","169069.6600","39784.3400","12813.5600","10824.3300","1989.2300",
"Decatur","Columbus Club of Decatur","120709294","5","1342360.1500","1244436.9100","97923.2400","438507.0000","340583.7600","97923.2400","30511.1300","25614.9700","4896.1600",
"Decatur","Corner Gas Station, LLC","170700065","5","5051524.4500","4619191.2000","432333.2500","1646901.0000","1214567.7100","432333.2900","136118.1500","114501.4000","21616.7500",
"Decatur","Dale & Jackie's Discount Liquors, Inc.","120707316","5","5930064.0200","5471590.9900","458473.0300","1934408.0000","1475933.2200","458474.7800","143305.8900","120382.1300","22923.7600",
"Decatur","DC HOLDINGS, LLC","150703820","5","6026542.8000","5432684.0200","593858.7800","2022926.0000","1429066.2200","593859.7800","186915.2800","157222.2900","29692.9900",
"Decatur","Decatur Eleventh Frame Lounge, Inc.","120707303","5","3598613.1600","3317035.3800","281577.7800","1272699.0000","991121.2200","281577.7800","87924.8900","73845.9600","14078.9300",
"Decatur","Decatur Package, Inc.","120707309","5","1495616.4100","1364486.9400","131129.4700","440011.0000","308859.4800","131151.5200","42940.2600","36382.6200","6557.6400",
"Decatur","Decatur R.C.E. Inc. ","120701460","5","2385263.1800","2199010.7600","186252.4200","791474.0000","605221.5800","186252.4200","58311.9200","48999.2400","9312.6800",
"Decatur","Door 4 Brewing Co.","180701828","5","405533.3600","373878.2100","31655.1500","149758.0000","118102.8500","31655.1500","10119.1500","8536.3900","1582.7600",
"Decatur","Dos Alacranes Inc.","150704186","5","1465775.8900","1357371.7100","108404.1800","467281.0000","358876.7700","108404.2300","34476.3800","29056.1400","5420.2400",
"Decatur","Elmer's Ole Time Inn Corp.","160702288","5","1891613.9000","1764893.8700","126720.0300","593948.0000","467227.9700","126720.0300","39947.8900","33611.8300","6336.0600",
"Decatur","ELMER'S TAVERN, INC.","120707311","5","4727001.8500","4327889.8300","399112.0200","1523786.0000","1124673.0500","399112.9500","125504.5200","105548.8100","19955.7100",
"Decatur","Fraternal Order of Eagles, Decatur Aerie # 507","150802918","3","454765.0000","423312.5700","31452.4300","130073.0000","98620.5900","31452.4100","9756.7800","8184.1100","1572.6700",
"Decatur","Happywood Inc.","120704532","5","3762139.2600","3473322.6000","288816.6600","1301182.0000","1012365.5900","288816.4100","90795.2200","76354.3400","14440.8800",
"Decatur","HASAN Q INC.","190700072","4","551019.5900","505995.4600","45024.1300","194330.0000","149305.8700","45024.1300","14691.5300","12440.3100","2251.2200",
"Decatur","INDIAS KITCHEN INC.","180700021","4","56276.1800","48895.8300","7380.3500","21933.0000","14553.1200","7379.8800","2214.0500","1845.0500","369.0000",
"Decatur","ISLAMOSKI & FAMILY, LLC","160700117","5","6946912.0700","6268645.7800","678266.2900","2380640.0000","1702373.7100","678266.2900","212091.3800","178177.9800","33913.4000",
"Decatur","J&M Family, Fun & Food, Inc.","130702614","5","6745829.5800","6251544.3400","494285.2400","2204432.0000","1710140.7600","494291.2400","154878.1600","130163.5300","24714.6300",
"Decatur","Just One More, Inc.","120702093","5","3670117.5400","3310749.8600","359367.6800","1201142.0000","841751.2000","359390.8000","112909.1800","94939.6000","17969.5800",
"Decatur","LACEY'S PLACE LLC","150702345","5","5214285.4200","4783841.8900","430443.5300","1764213.0000","1333766.4700","430446.5300","134883.1500","113360.7700","21522.3800",
"Decatur","Lacey's Place LLC Series Decatur","160702420","4","4720534.7000","4297346.3900","423188.3100","1562864.0000","1139611.9800","423252.0200","132813.6300","111651.0300","21162.6000",
"Decatur","Lakeview Hospitality, LLC","120709882","3","782833.0500","733460.0500","49373.0000","221930.0000","172556.8100","49373.1900","15550.8100","13082.1500","2468.6600",
