All Municipality Totals,,,,,,,,,,,
January 2019 - November 2019,,,,,,,,,,,
Report Date: 12/18/2019 20:59 PM,,,,,,,,,,,
Municipality,Establishment Count,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Abingdon,4,16,5982675.59,5512524.14,470151.45,1718569,1248416.2,470152.8,147220.29,123712.61,23507.68
Adams County,12,46,17152669.77,15627324.95,1525344.82,5327564,3802219.09,1525344.91,478108.2,401840.83,76267.37
Addieville,1,5,845076.87,773304.22,71772.65,311151,239378.41,71772.59,22504.13,18915.45,3588.68
Addison,22,106,80765717.45,73636181.49,7129535.96,25839490,18709343.01,7130146.99,2235074.27,1878565.97,356508.3
Albany,2,7,1850464.41,1690050.27,160414.14,657192,496777.51,160414.49,50557.29,42536.48,8020.81
Albers,1,4,1352738.66,1238828.47,113910.19,467980,354069.6,113910.4,35594.37,29898.82,5695.55
Albion,4,17,2640457.56,2416939.48,223518.08,654495,430976.75,223518.25,70183.17,59007.22,11175.95
Aledo,6,24,6471324.92,5916615.48,554709.44,1987517,1432716.76,554800.24,174099.7,146359.51,27740.19
Alexander County,3,13,3608366.01,3298783.57,309582.44,1113261,803678.66,309582.34,97698.16,82218.98,15479.18
Alexis,2,7,1032559.8,936416.09,96143.71,345613,249469.32,96143.68,30454.19,25646.99,4807.2
Algonquin,18,79,27338591.03,24916127.91,2422463.12,9100625,6678155.29,2422469.71,758003.25,636879.38,121123.87
Alhambra,2,7,1426609.87,1307506.45,119103.42,497098,377994.47,119103.53,36913.36,30958.17,5955.19
Alorton,2,10,15095960.84,13664943.75,1431017.09,4851680,3420608.14,1431071.86,448793.77,377240.01,71553.76
Alpha,1,3,21866.79,18507.96,3358.83,7423,4064.17,3358.83,1108.4,940.46,167.94
Alsey,2,7,2245827.83,2064993.9,180833.93,706635,525782.74,180852.26,56506.73,47464.06,9042.67
Alsip,15,73,63149942.28,57884435.71,5265506.57,20013647,14748016.45,5265630.55,1651411.1,1388128.97,263282.13
Altamont,8,36,10574168.37,9750773.97,823394.4,2994254,2170858.2,823395.8,257613.54,216443.65,41169.89
Alto Pass,1,4,261031.96,238391.48,22640.48,73347,50706.52,22640.48,7200.63,6068.55,1132.08
Alton,34,146,80262498.22,73779209.45,6483288.77,24490574,18007256.84,6483317.16,2031936.77,1707770.09,324166.68
Altona,1,5,1957039.59,1815779.62,141259.97,585578,444318.03,141259.97,44664.42,37601.37,7063.05
